Type,Option_expiry,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,25Y,30Y,50Y
Forward,1D,1.561711474,1.643005166,1.737452756,1.883433665,2.060063211,2.155619976,2.26604402,2.345456895,2.444243788,2.549446916,2.599291909,2.614452282,2.613134258,2.593894687
Forward,1W,1.559876358,1.650249151,1.748991096,1.893086296,2.064035488,2.158672795,2.266940634,2.346391767,2.445133479,2.549156131,2.598654611,2.61335289,2.611763984,2.592427717
Forward,1M,1.566361244,1.679972815,1.779965558,1.926593798,2.089900969,2.177813947,2.281386288,2.358069417,2.454511645,2.556814863,2.604981791,2.618919156,2.616853781,2.59663857
Forward,2M,1.44083669,1.702713445,1.827713673,1.967215669,2.117715538,2.197356793,2.29529375,2.369823651,2.46377355,2.56354542,2.610180405,2.623052537,2.620287417,2.599208887
Forward,3M,1.643599463,1.822928889,1.905798465,2.003287496,2.144554245,2.214944238,2.307595983,2.380003989,2.472767768,2.569660953,2.61496366,2.626871301,2.62366595,2.601745889
Forward,6M,1.750756071,1.980615261,2.027154458,2.107761083,2.211085624,2.265625093,2.343784288,2.410917466,2.497509557,2.587655161,2.628683456,2.637616767,2.632521939,2.608365775
Forward,9M,1.967745639,2.064517766,2.101696431,2.184717484,2.259489157,2.304519313,2.372564623,2.436096882,2.51819396,2.602641834,2.639924416,2.646274582,2.639534909,2.613648095
Forward,1Y,2.130978311,2.129004664,2.189154168,2.240165988,2.295920316,2.33524151,2.396563046,2.457747356,2.536488286,2.615721865,2.649627872,2.653697044,2.645485642,2.618238553
Forward,1Y6M,2.115558219,2.284589088,2.291137124,2.316227325,2.34700786,2.378586291,2.435950717,2.493374093,2.568326041,2.637406638,2.665243919,2.665597295,2.654601944,2.625433679
Forward,2Y,2.281549406,2.319317013,2.341840991,2.353413519,2.384741333,2.410989425,2.468428069,2.524733551,2.596729546,2.656055148,2.678064033,2.674929655,2.661612667,2.63113952
Forward,3Y,2.33513386,2.348845446,2.392631871,2.416738747,2.440708321,2.467864934,2.527724621,2.582035612,2.643818,2.687891111,2.699323463,2.689793304,2.672409537,2.640430159
